,time,minutes,hours,location,account,message,spellcheck_msg,cleaned_msg,cluster,label
19382,2020-04-08 10:24:00,3504,58,Palace Hills,MarthaGuapoHolland,re  A major sinkholehas collapsedtaken several cars with it  I think the watermain burst  All the street signs are gone  but its that major arteral street in neighborhood 17  I get a busy signal on 911 and people are trapped  #street @Helen2017Martin,re a major sinkholehas collapsedtaken several cars with it a think the watermain burst all the street signs are gone but its that major arterial street in neighborhood 17 a get a busy signal on 911 and people are wrapped a street a Helen2017Martin,major sinkholehas collapsedtaken several cars think watermain burst street signs gone major arterial street neighborhood 17 get busy signal 911 people wrapped street Helen2017Martin,14,SEWER;TRANSPORTATION;RESCUE
19383,2020-04-08 10:24:00,3504,58,Old Town,AttentativeDouglasIcecream,re  Extensive damage on the north and south sides  Although no neighborhood has escaped damage  Severals fires throughout City  ,re extensive damage on the north and south sides although no neighborhood has escaped damage several fires throughout city,extensive damage north south sides although neighborhood escaped damage several fires throughout city,61,FIRE
19385,2020-04-08 10:25:00,3505,58,Terrapin Springs,CleverFLight,re  A major sinkholehas collapsedtaken several cars with it  I think the watermain burst  All the street signs are gone  but its that major arteral street in neighborhood 17  I get a busy signal on 911 and people are trapped  #street @Helen2017Martin,re a major sinkholehas collapsedtaken several cars with it a think the watermain burst all the street signs are gone but its that major arterial street in neighborhood 17 a get a busy signal on 911 and people are wrapped a street a Helen2017Martin,major sinkholehas collapsedtaken several cars think watermain burst street signs gone major arterial street neighborhood 17 get busy signal 911 people wrapped street Helen2017Martin,14,SEWER;TRANSPORTATION;RESCUE
19391,2020-04-08 10:26:00,3506,58,Terrapin Springs,CuriousECouch,re  KRAK TV  3 blocks of waterfront property at Entitled Acres housing development have slid into the water  All that is left is the golf course  No idea how many houses were lost  Major rescue operation underway ,re KRAK of 3 blocks of front property at entitled acres housing development have slid into the water all that is left is the golf course to idea how many houses were lost major rescue operation underway,KRAK 3 blocks front property entitled acres housing development slid water left golf course idea many houses lost major rescue operation underway,61,ROAD;WATER
19393,2020-04-08 10:26:00,3506,58,Northwest,SCleverGraham,re  A major sinkholehas collapsedtaken several cars with it  I think the watermain burst  All the street signs are gone  but its that major arteral street in neighborhood 17  I get a busy signal on 911 and people are trapped  #street @Helen2017Martin,re a major sinkholehas collapsedtaken several cars with it a think the watermain burst all the street signs are gone but its that major arterial street in neighborhood 17 a get a busy signal on 911 and people are wrapped a street a Helen2017Martin,major sinkholehas collapsedtaken several cars think watermain burst street signs gone major arterial street neighborhood 17 get busy signal 911 people wrapped street Helen2017Martin,14,SEWER;TRANSPORTATION;RESCUE
19409,2020-04-08 10:29:00,3509,58,Downtown,SmartBreadJimmy,re  KRAK TV  3 blocks of waterfront property at Entitled Acres housing development have slid into the water  All that is left is the golf course  No idea how many houses were lost  Major rescue operation underway ,re KRAK of 3 blocks of front property at entitled acres housing development have slid into the water all that is left is the golf course to idea how many houses were lost major rescue operation underway,KRAK 3 blocks front property entitled acres housing development slid water left golf course idea many houses lost major rescue operation underway,61,ROAD;WATER
19410,2020-04-08 10:30:00,3510,58,Downtown,PWileyTune,re  KRAK TV  3 blocks of waterfront property at Entitled Acres housing development have slid into the water  All that is left is the golf course  No idea how many houses were lost  Major rescue operation underway ,re KRAK of 3 blocks of front property at entitled acres housing development have slid into the water all that is left is the golf course to idea how many houses were lost major rescue operation underway,KRAK 3 blocks front property entitled acres housing development slid water left golf course idea many houses lost major rescue operation underway,61,ROAD;WATER
19421,2020-04-08 10:36:00,3516,58,Weston,FleetHiltonCandy1964,re  KRAK TV  3 blocks of waterfront property at Entitled Acres housing development have slid into the water  All that is left is the golf course  No idea how many houses were lost  Major rescue operation underway ,re KRAK of 3 blocks of front property at entitled acres housing development have slid into the water all that is left is the golf course to idea how many houses were lost major rescue operation underway,KRAK 3 blocks front property entitled acres housing development slid water left golf course idea many houses lost major rescue operation underway,61,ROAD;WATER
19426,2020-04-08 10:37:00,3517,58,Northwest,WileyMclaughlinBowl61,re  A major sinkholehas collapsedtaken several cars with it  I think the watermain burst  All the street signs are gone  but its that major arteral street in neighborhood 17  I get a busy signal on 911 and people are trapped  #street @Helen2017Martin,re a major sinkholehas collapsedtaken several cars with it a think the watermain burst all the street signs are gone but its that major arterial street in neighborhood 17 a get a busy signal on 911 and people are wrapped a street a Helen2017Martin,major sinkholehas collapsedtaken several cars think watermain burst street signs gone major arterial street neighborhood 17 get busy signal 911 people wrapped street Helen2017Martin,14,SEWER;TRANSPORTATION;RESCUE
19473,2020-04-08 10:50:00,3530,58,West Parton,HoldsFradyMouse,re  KRAK TV  3 blocks of waterfront property at Entitled Acres housing development have slid into the water  All that is left is the golf course  No idea how many houses were lost  Major rescue operation underway ,re KRAK of 3 blocks of front property at entitled acres housing development have slid into the water all that is left is the golf course to idea how many houses were lost major rescue operation underway,KRAK 3 blocks front property entitled acres housing development slid water left golf course idea many houses lost major rescue operation underway,61,ROAD;WATER
19488,2020-04-08 10:55:00,3535,58,Southton,CandidStrunkCouch1987,re  KRAK TV  3 blocks of waterfront property at Entitled Acres housing development have slid into the water  All that is left is the golf course  No idea how many houses were lost  Major rescue operation underway ,re KRAK of 3 blocks of front property at entitled acres housing development have slid into the water all that is left is the golf course to idea how many houses were lost major rescue operation underway,KRAK 3 blocks front property entitled acres housing development slid water left golf course idea many houses lost major rescue operation underway,61,ROAD;WATER
19515,2020-04-08 11:04:00,3544,59,Weston,AttentativeBHouse,re  Old Town hospital is heavily damaged ,re Old Town hospital is heavily damaged,Old Town hospital heavily damaged,60,REPAIR;MEDICAL
19705,2020-04-08 11:44:00,3584,59,Southton,TallSouthwardCandy30,re  Dachsund Rescue needs your help  All the dachsunds have escaped - about 50 of them ,re a rescue needs your help all the das have escaped a about 50 of them,rescue needs help das escaped 50,24,RESCUE
19738,2020-04-08 11:52:00,3592,59,Cheddarford,Glenn1990S,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19743,2020-04-08 11:55:00,3595,59,Old Town,FastLightFrances_Bridgett,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19755,2020-04-08 11:57:00,3597,59,Downtown,FamousKCandy,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19756,2020-04-08 11:57:00,3597,59,Palace Hills,David_MannWhale1955,re  Dachsund Rescue needs your help  All the dachsunds have escaped - about 50 of them ,re a rescue needs your help all the das have escaped a about 50 of them,rescue needs help das escaped 50,24,RESCUE
19758,2020-04-08 11:58:00,3598,59,Southton,FamousMerrittCar28,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19765,2020-04-08 11:59:00,3599,59,Chapparal,RayBird95,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19772,2020-04-08 12:01:00,3601,60,Cheddarford,CandidRCouch1960,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19778,2020-04-08 12:03:00,3603,60,Oak Willow,FearsMicheleCat,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19780,2020-04-08 12:04:00,3604,60,Southton,DarkFreebornIcecream,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19819,2020-04-08 12:12:00,3612,60,Downtown,SFamousM,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19831,2020-04-08 12:15:00,3615,60,Cheddarford,ObnoxiousHouseMckenzie,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19839,2020-04-08 12:16:00,3616,60,Downtown,CandidCHouse,re  Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,re always safe securityfence is down and one their buildings has partially collapsed you can walk right in he need some corps out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19863,2020-04-08 12:22:00,3622,60,Southton,TracyCleverJ,re  St  Himark Power Company  arseume all electrical lines are hot and don t go near them  Our crews are working to restore power as fast as possible ,re it remark power company assume all electrical lines are hot and don t go near them our crews are working to restore power as fast as possible,remark power company assume electrical lines hot go near crews working restore power fast possible,3,POWER
19879,2020-04-08 12:26:00,3626,60,Broadview,KimberlyFleetWillis,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
19900,2020-04-08 12:30:00,3630,60,Terrapin Springs,AyersBear17,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
19908,2020-04-08 12:31:00,3631,60,Oak Willow,SmartNewmanBread,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
19909,2020-04-08 12:31:00,3631,60,Pepper Mill,FamousPlateBrandy_Dismuke,re  St  Himark Power Company  arseume all electrical lines are hot and don t go near them  Our crews are working to restore power as fast as possible ,re it remark power company assume all electrical lines are hot and don t go near them our crews are working to restore power as fast as possible,remark power company assume electrical lines hot go near crews working restore power fast possible,3,POWER
19912,2020-04-08 12:32:00,3632,60,Scenic Vista,AttentativeBananaJeannine_Chan,re  St  Himark Power Company  arseume all electrical lines are hot and don t go near them  Our crews are working to restore power as fast as possible ,re it remark power company assume all electrical lines are hot and don t go near them our crews are working to restore power as fast as possible,remark power company assume electrical lines hot go near crews working restore power fast possible,3,POWER
19919,2020-04-08 12:34:00,3634,60,Downtown,SharondaLion38,re  St  Himark Power Company  arseume all electrical lines are hot and don t go near them  Our crews are working to restore power as fast as possible ,re it remark power company assume all electrical lines are hot and don t go near them our crews are working to restore power as fast as possible,remark power company assume electrical lines hot go near crews working restore power fast possible,3,POWER
19940,2020-04-08 12:36:00,3636,60,Old Town,C1980Irvin,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
19968,2020-04-08 12:39:00,3639,60,Downtown,AttentativeJacksonCar,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
19971,2020-04-08 12:40:00,3640,60,Northwest,FamousBowlTeresa,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
19979,2020-04-08 12:41:00,3641,60,Palace Hills,Winston36Andrews,re  St  Himark Power Company  arseume all electrical lines are hot and don t go near them  Our crews are working to restore power as fast as possible ,re it remark power company assume all electrical lines are hot and don t go near them our crews are working to restore power as fast as possible,remark power company assume electrical lines hot go near crews working restore power fast possible,3,POWER
19986,2020-04-08 12:42:00,3642,60,Southton,RacesMaryannMouse,re  St  Himark Power Company  arseume all electrical lines are hot and don t go near them  Our crews are working to restore power as fast as possible ,re it remark power company assume all electrical lines are hot and don t go near them our crews are working to restore power as fast as possible,remark power company assume electrical lines hot go near crews working restore power fast possible,3,POWER
20009,2020-04-08 12:45:00,3645,60,Weston,CuriousIBread,re  Thought living in a brick home would be quaint  Turns out it s a disaster ,re Thought living in a brick home would be quaint Turns out it s a disaster,Thought living brick home would quaint Turns disaster,54,SHELTER
20019,2020-04-08 12:46:00,3646,60,Scenic Vista,LazyDBowl,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
20098,2020-04-08 12:57:00,3657,60,Downtown,FearsDanielMouse,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20108,2020-04-08 12:59:00,3659,60,Palace Hills,Ashley2019Becher,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20109,2020-04-08 12:59:00,3659,60,Palace Hills,Sarah51Chan,re  Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,re wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
20148,2020-04-08 13:03:00,3663,61,West Parton,BusyCBanana1953,re  Broken water and sewer pipes pose a risk of contaminated water  Neighborhoods Old Town  Safe Town  Scenic Vista  Broadview  Chapparal  Easton should boil their drinking water for 2 minutes ,re broken water and fewer pipes pose a risk of contaminated water neighborhoods old down safe down oceanic vista Broadview Chapparal watson should boil their drinking water for 2 minutes,broken water fewer pipes pose risk contaminated water neighborhoods old safe oceanic vista Broadview Chapparal watson boil drinking water 2 minutes,24,WATER
20175,2020-04-08 13:05:00,3665,61,Palace Hills,DarkHowardBowl,re  Broken water and sewer pipes pose a risk of contaminated water  Neighborhoods Old Town  Safe Town  Scenic Vista  Broadview  Chapparal  Easton should boil their drinking water for 2 minutes ,re broken water and fewer pipes pose a risk of contaminated water neighborhoods old down safe down oceanic vista Broadview Chapparal watson should boil their drinking water for 2 minutes,broken water fewer pipes pose risk contaminated water neighborhoods old safe oceanic vista Broadview Chapparal watson boil drinking water 2 minutes,24,WATER
20200,2020-04-08 13:07:00,3667,61,Downtown,M46Kennedy,re  Broken water and sewer pipes pose a risk of contaminated water  Neighborhoods Old Town  Safe Town  Scenic Vista  Broadview  Chapparal  Easton should boil their drinking water for 2 minutes ,re broken water and fewer pipes pose a risk of contaminated water neighborhoods old down safe down oceanic vista Broadview Chapparal watson should boil their drinking water for 2 minutes,broken water fewer pipes pose risk contaminated water neighborhoods old safe oceanic vista Broadview Chapparal watson boil drinking water 2 minutes,24,WATER
20234,2020-04-08 13:10:00,3670,61,Northwest,Mary2Phillips,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20270,2020-04-08 13:12:00,3672,61,Downtown,FuriousTimHouse,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20277,2020-04-08 13:13:00,3673,61,Weston,JessicaFastOtt,re  Broken water and sewer pipes pose a risk of contaminated water  Neighborhoods Old Town  Safe Town  Scenic Vista  Broadview  Chapparal  Easton should boil their drinking water for 2 minutes ,re broken water and fewer pipes pose a risk of contaminated water neighborhoods old down safe down oceanic vista Broadview Chapparal watson should boil their drinking water for 2 minutes,broken water fewer pipes pose risk contaminated water neighborhoods old safe oceanic vista Broadview Chapparal watson boil drinking water 2 minutes,24,WATER
20292,2020-04-08 13:14:00,3674,61,Southton,HoldsMary_HooverBear,re  Broken water and sewer pipes pose a risk of contaminated water  Neighborhoods Old Town  Safe Town  Scenic Vista  Broadview  Chapparal  Easton should boil their drinking water for 2 minutes ,re broken water and fewer pipes pose a risk of contaminated water neighborhoods old down safe down oceanic vista Broadview Chapparal watson should boil their drinking water for 2 minutes,broken water fewer pipes pose risk contaminated water neighborhoods old safe oceanic vista Broadview Chapparal watson boil drinking water 2 minutes,24,WATER
20308,2020-04-08 13:16:00,3676,61,Southton,FamousOPlate,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20315,2020-04-08 13:17:00,3677,61,Terrapin Springs,MyersBear1978,re  Thought living in a brick home would be quaint  Turns out it s a disaster ,re Thought living in a brick home would be quaint Turns out it s a disaster,Thought living brick home would quaint Turns disaster,54,SHELTER
20318,2020-04-08 13:17:00,3677,61,Southton,CuriousCaraHouse,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20325,2020-04-08 13:17:00,3677,61,Weston,ObnoxiousJPlate,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20335,2020-04-08 13:18:00,3678,61,Cheddarford,CuriousRBowl,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20351,2020-04-08 13:19:00,3679,61,Weston,A98Chavarria,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20353,2020-04-08 13:19:00,3679,61,Scenic Vista,FleetBreadDora_Merino,re  Thought living in a brick home would be quaint  Turns out it s a disaster ,re Thought living in a brick home would be quaint Turns out it s a disaster,Thought living brick home would quaint Turns disaster,54,SHELTER
20370,2020-04-08 13:20:00,3680,61,Old Town,ObnoxiousMPlate69,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20377,2020-04-08 13:21:00,3681,61,Cheddarford,RunsWarkentinCat,re  I CANT EVEN DRINK WATER NOW,re I CANT EVEN DRINK WATER NOW,I CANT EVEN DRINK WATER NOW,29,WATER
20389,2020-04-08 13:22:00,3682,61,Cheddarford,Douglas_Ransom29,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20424,2020-04-08 13:24:00,3684,61,Old Town,L1990Dowden,re  I CANT EVEN DRINK WATER NOW,re I CANT EVEN DRINK WATER NOW,I CANT EVEN DRINK WATER NOW,29,WATER
20425,2020-04-08 13:24:00,3684,61,Safe Town,Sharon_BrancoCat13,re  Broken water and sewer pipes pose a risk of contaminated water  Neighborhoods Old Town  Safe Town  Scenic Vista  Broadview  Chapparal  Easton should boil their drinking water for 2 minutes ,re broken water and fewer pipes pose a risk of contaminated water neighborhoods old down safe down oceanic vista Broadview Chapparal watson should boil their drinking water for 2 minutes,broken water fewer pipes pose risk contaminated water neighborhoods old safe oceanic vista Broadview Chapparal watson boil drinking water 2 minutes,24,WATER
20430,2020-04-08 13:25:00,3685,61,Downtown,GibsonOctopus28,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20447,2020-04-08 13:26:00,3686,61,Northwest,FuriousCarLuis_Duncan,re   I finally get home and I can t drink my water #FTWcantWonder,re I finally get home and I can t drink my water #FTWcantWonder,I finally get home I drink water #FTWcantWonder,72,WATER
20449,2020-04-08 13:26:00,3686,61,Safe Town,WatchesNancy_LittleLion,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20464,2020-04-08 13:27:00,3687,61,Safe Town,DFuriousD,re  Thought living in a brick home would be quaint  Turns out it s a disaster ,re Thought living in a brick home would be quaint Turns out it s a disaster,Thought living brick home would quaint Turns disaster,54,SHELTER
20465,2020-04-08 13:27:00,3687,61,Pepper Mill,FuriousMerkleBread1973,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20470,2020-04-08 13:27:00,3687,61,Old Town,Sandra_Houston34,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20480,2020-04-08 13:28:00,3688,61,Palace Hills,FuriousLightMary_Bates,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20482,2020-04-08 13:28:00,3688,61,Chapparal,JohnLazyL,re  Department of Health and theSt Himark Water and Sewer Department  Broken water and sewer pipes create of risk of contaminated drinking water  The following neighborhoods should boil their water  4  8 9 10 14 ,re department of health and theft remark later and fewer department broken water and fewer pipes create of risk of contaminated drinking water the following neighborhoods should boil their water 4 8 9 10 14,department health theft remark later fewer department broken water fewer pipes create risk contaminated drinking water following neighborhoods boil water 4 8 9 10 14,41,WATER
20491,2020-04-08 13:29:00,3689,61,Downtown,FuriousJCouch,re   I finally get home and I can t drink my water #FTWcantWonder,re I finally get home and I can t drink my water #FTWcantWonder,I finally get home I drink water #FTWcantWonder,72,WATER
20494,2020-04-08 13:29:00,3689,61,Scenic Vista,TallSuarezBread,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20497,2020-04-08 13:29:00,3689,61,Weston,Ryan2011,re  Time to turn on the stove  No way am I having me or my Heroes of St  Himark drink contaminated water ,re Time to turn on the stove No way am I having me or my Heroes of St Himark drink contaminated water,Time turn stove No way I Heroes St Himark drink contaminated water,41,WATER
20510,2020-04-08 13:30:00,3690,61,Safe Town,FearsRobertLion,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20514,2020-04-08 13:30:00,3690,61,Scenic Vista,Eric_Lubrano1981,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20519,2020-04-08 13:31:00,3691,61,Southton,TallJCar,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20531,2020-04-08 13:31:00,3691,61,Weston,HoldsThomas_MercerMouse,re  Now the water is unsafe  Why am I living in SAFE town ,re Now the water is unsafe Why am I living in SAFE town,Now water unsafe Why I living SAFE town,41,WATER
20541,2020-04-08 13:32:00,3692,61,Palace Hills,Robert1952,re  Water is contaminated  Serious reactions reported in the following neighborhoods Old Town Safe Town Scenic Vista Broadview Chapparal,re later is contaminated serious reactions reported in the following neighborhoods old down safe down oceanic vista Broadview Chapparal,later contaminated serious reactions reported following neighborhoods old safe oceanic vista Broadview Chapparal,24,WATER
20551,2020-04-08 13:32:00,3692,61,Easton,ObnoxiousMaryBread,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20553,2020-04-08 13:32:00,3692,61,Southton,Suzanne_RockwellWhale12,re  Now the water is unsafe  Why am I living in SAFE town ,re Now the water is unsafe Why am I living in SAFE town,Now water unsafe Why I living SAFE town,41,WATER
20570,2020-04-08 13:33:00,3693,61,Scenic Vista,FastRichPlate,re  What WHAT water everyhwere,re What WHAT water everyhwere,What WHAT water everyhwere,41,FLOODING
20571,2020-04-08 13:33:00,3693,61,Downtown,CleverBruceLight,re  I need a place to stay  they told me my house wasn t safe ,re I need a place to stay they told me my house wasn t safe,I need place stay told house safe,7,SHELTER
20572,2020-04-08 13:33:00,3693,61,Weston,Janice1996Wagoner,re   I finally get home and I can t drink my water #FTWcantWonder,re I finally get home and I can t drink my water #FTWcantWonder,I finally get home I drink water #FTWcantWonder,72,WATER
